loop_id,display_name,site,area,unit,loop_type,criticality,pv_ot_tag,sp_ot_tag,op_ot_tag,mode_ot_tag,vp_ot_tag,op_min,op_max,pv_min,pv_max,enable_monitoring,profile
AIC30601,Analyser controller AIC30601,hdpe,unassigned,unassigned,UNKNOWN,medium,,,,,,0,100,4,12,true,
FC10711,Flow controller FC10711,hdpe,unassigned,unassigned,FIC,medium,,,,,,0,100,0,600,true,
FC10712,Flow controller FC10712,hdpe,unassigned,unassigned,FIC,medium,,,,,,0,100,0,300,true,
FQIC10103,Flow totaliser controller FQIC10103,hdpe,unassigned,unassigned,FIC,medium,,,,,,0,100,0,16000,true,
FQIC10104,Flow totaliser controller FQIC10104,hdpe,unassigned,unassigned,FIC,medium,,,,,,0,100,0,2000,true,
FQIC10304,Flow totaliser controller FQIC10304,hdpe,unassigned,unassigned,FIC,medium,,,,,,0,100,0,200,true,
FQIC40302,Flow totaliser controller FQIC40302,hdpe,unassigned,unassigned,FIC,medium,,,,,,0,100,0,2000,true,
FQIC50102C,Flow totaliser controller FQIC50102C,hdpe,unassigned,unassigned,FIC,medium,,,,,,0,40,0,400,true,
IIC20101A,Current controller IIC20101A,hdpe,unassigned,unassigned,UNKNOWN,medium,,,,,,0,63,0,50,true,
IIC20101B,Current controller IIC20101B,hdpe,unassigned,unassigned,UNKNOWN,medium,,,,,,0,65,0,50,true,
IIC20101C,Current controller IIC20101C,hdpe,unassigned,unassigned,UNKNOWN,medium,,,,,,0,58,0,50,true,
NIC51101,Speed controller NIC51101,hdpe,unassigned,unassigned,UNKNOWN,medium,,,,,,0,100,0,252,true,
PDIC10407,Differential pressure controller PDIC10407,hdpe,unassigned,unassigned,PIC,medium,,,,,,0,100,0,25,true,
PDIC10418,Differential pressure controller PDIC10418,hdpe,unassigned,unassigned,PIC,medium,,,,,,25,100,0,100,true,
