# UI Bulk Import variant - signal paths derived; sourceTag/OP-range NOT settable via this route (prefer import-cpm-loops.ps1 with hdpe-all-loops.csv)
tag,service,site,area,unit,loop_type,criticality,pv_tag,sp_tag,op_tag,mode_tag,vp_tag,profile
FIC10301,Flow controller FIC10301 (FCS0101),hdpe,section_400,u4002_catalyst_tankfarm,FIC,medium,,,,,,
FIC10302,Flow controller FIC10302 (FCS0101),hdpe,section_300,u3001_hexane_purification_i_distillation,FIC,medium,,,,,,
FIC10303A,Flow controller FIC10303A (FCS0101),hdpe,section_100,u1005_catalyst_dosage,FIC,medium,,,,,,
FIC10303B,Flow controller FIC10303B (FCS0101),hdpe,section_400,u4002_catalyst_tankfarm,FIC,medium,,,,,,
FIC10401,Flow controller FIC10401 (FCS0101),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,FIC,medium,,,,,,
FIC10402,Flow controller FIC10402 (FCS0101),hdpe,section_400,u4002_catalyst_tankfarm,FIC,medium,,,,,,
FIC10403,Flow controller FIC10403 (FCS0101),hdpe,section_200,u2005_refrigeration_unit_hexane_supply,FIC,medium,,,,,,
FIC10404,Flow controller FIC10404 (FCS0101),hdpe,section_400,u4001_hexane_tankfarm,FIC,medium,,,,,,
FIC10405,Flow controller FIC10405 (FCS0101),hdpe,section_100,u1007_catalyst_preparation,FIC,medium,,,,,,
FIC10406,Flow controller FIC10406 (FCS0101),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,FIC,medium,,,,,,
FIC10409,Flow controller FIC10409 (FCS0101),hdpe,section_800,u8002_utility_supply,FIC,medium,,,,,,
FIC10501,Flow controller FIC10501 (FCS0101),hdpe,section_300,u3004_wax_pretreatment,FIC,medium,,,,,,
FIC10502,Flow controller FIC10502 (FCS0101),hdpe,section_100,u1006_catalyst_storage,FIC,medium,,,,,,
FIC10503,Flow controller FIC10503 (FCS0101),hdpe,section_100,u1005_catalyst_dosage,FIC,medium,,,,,,
FIC10504,Flow controller FIC10504 (FCS0101),hdpe,section_600,u6001_pellet_homogenization_i_silo_1_2_3,FIC,medium,,,,,,
FIC10505,Flow controller FIC10505 (FCS0101),hdpe,section_100,u1004_suspension_receiver_off_gas_system,FIC,medium,,,,,,
FIC10506,Flow controller FIC10506 (FCS0101),hdpe,section_300,u3006_waste_water_pretreatment,FIC,medium,,,,,,
FIC10509,Flow controller FIC10509 (FCS0101),hdpe,section_500,u5003_pellet_water_transport_system_drying,FIC,medium,,,,,,
FIC10513,Flow controller FIC10513 (FCS0101),hdpe,section_200,u2002_powder_drying_i,FIC,medium,,,,,,
FIC10710,Flow controller FIC10710 (FCS0101),hdpe,section_100,u1007_catalyst_preparation,FIC,medium,,,,,,
FIC30701,Flow controller FIC30701 (FCS0101),hdpe,section_800,u8002_utility_supply,FIC,medium,,,,,,
FIC80103,Flow controller FIC80103 (FCS0101),hdpe,section_400,u4001_hexane_tankfarm,FIC,medium,,,,,,
FIC80104,Flow controller FIC80104 (FCS0101),hdpe,section_400,u4002_catalyst_tankfarm,FIC,medium,,,,,,
LIC10401,Level controller LIC10401 (FCS0101),hdpe,section_400,u4001_hexane_tankfarm,LIC,medium,,,,,,
LIC10404,Level controller LIC10404 (FCS0101),hdpe,section_100,u1005_catalyst_dosage,LIC,medium,,,,,,
LIC10501,Level controller LIC10501 (FCS0101),hdpe,section_300,u3006_waste_water_pretreatment,LIC,medium,,,,,,
LIC10601,Level controller LIC10601 (FCS0101),hdpe,section_100,u1007_catalyst_preparation,LIC,medium,,,,,,
LIC10704,Level controller LIC10704 (FCS0101),hdpe,section_100,u1001_polymerization_reactor_1,LIC,medium,,,,,,
LIC10719,Level controller LIC10719 (FCS0101),hdpe,section_100,u1003_polymerization_ii_post_reactor,LIC,medium,,,,,,
LIC80101,Level controller LIC80101 (FCS0101),hdpe,section_300,u3004_wax_pretreatment,LIC,medium,,,,,,
LIC80102,Level controller LIC80102 (FCS0101),hdpe,section_100,u1003_polymerization_ii_post_reactor,LIC,medium,,,,,,
PIC00521,Pressure controller PIC00521 (FCS0101),hdpe,section_100,u1005_catalyst_dosage,PIC,medium,,,,,,
PIC00551,Pressure controller PIC00551 (FCS0101),hdpe,section_300,u3006_waste_water_pretreatment,PIC,medium,,,,,,
PIC00605,Pressure controller PIC00605 (FCS0101),hdpe,section_600,u6001_pellet_homogenization_i_silo_1_2_3,PIC,medium,,,,,,
PIC00609,Pressure controller PIC00609 (FCS0101),hdpe,section_100,u1006_catalyst_storage,PIC,medium,,,,,,
PIC00610,Pressure controller PIC00610 (FCS0101),hdpe,section_100,u1005_catalyst_dosage,PIC,medium,,,,,,
PIC00620,Pressure controller PIC00620 (FCS0101),hdpe,section_100,u1002_polymerization_ii_reactor_2,PIC,medium,,,,,,
PIC10101,Pressure controller PIC10101 (FCS0101),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,PIC,medium,,,,,,
PIC10104,Pressure controller PIC10104 (FCS0101),hdpe,section_400,u4002_catalyst_tankfarm,PIC,medium,,,,,,
PIC10116,Pressure controller PIC10116 (FCS0101),hdpe,section_200,u2005_refrigeration_unit_hexane_supply,PIC,medium,,,,,,
PIC10201A,Pressure controller PIC10201A (FCS0101),hdpe,section_300,u3001_hexane_purification_i_distillation,PIC,medium,,,,,,
PIC10201B,Pressure controller PIC10201B (FCS0101),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,PIC,medium,,,,,,
PIC10201C,Pressure controller PIC10201C (FCS0101),hdpe,section_300,u3001_hexane_purification_i_distillation,PIC,medium,,,,,,
PIC10320,Pressure controller PIC10320 (FCS0101),hdpe,section_100,u1004_suspension_receiver_off_gas_system,PIC,medium,,,,,,
PIC10323,Pressure controller PIC10323 (FCS0101),hdpe,section_200,u2002_powder_drying_i,PIC,medium,,,,,,
PIC10407_2,Pressure controller PIC10407_2 (FCS0101),hdpe,section_200,u2003_powder_drying_ii_scrubber,PIC,medium,,,,,,
PIC10411,Pressure controller PIC10411 (FCS0101),hdpe,section_200,u2003_powder_drying_ii_scrubber,PIC,medium,,,,,,
PIC10412,Pressure controller PIC10412 (FCS0101),hdpe,section_500,u5003_pellet_water_transport_system_drying,PIC,medium,,,,,,
PIC10413,Pressure controller PIC10413 (FCS0101),hdpe,section_100,u1001_polymerization_reactor_1,PIC,medium,,,,,,
PIC10511,Pressure controller PIC10511 (FCS0101),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,PIC,medium,,,,,,
PIC10512,Pressure controller PIC10512 (FCS0101),hdpe,section_200,u2005_refrigeration_unit_hexane_supply,PIC,medium,,,,,,
PIC10513,Pressure controller PIC10513 (FCS0101),hdpe,section_500,u5003_pellet_water_transport_system_drying,PIC,medium,,,,,,
PIC10603,Pressure controller PIC10603 (FCS0101),hdpe,section_100,u1005_catalyst_dosage,PIC,medium,,,,,,
PIC10703,Pressure controller PIC10703 (FCS0101),hdpe,section_300,u3002_hexane_purification_ii_adsorbtion,PIC,medium,,,,,,
PIC10704,Pressure controller PIC10704 (FCS0101),hdpe,section_500,u5003_pellet_water_transport_system_drying,PIC,medium,,,,,,
PIC80103,Pressure controller PIC80103 (FCS0101),hdpe,section_300,u3004_wax_pretreatment,PIC,medium,,,,,,
PIC80105,Pressure controller PIC80105 (FCS0101),hdpe,section_100,u1006_catalyst_storage,PIC,medium,,,,,,
PIC80140,Pressure controller PIC80140 (FCS0101),hdpe,section_100,u1007_catalyst_preparation,PIC,medium,,,,,,
PIC80141,Pressure controller PIC80141 (FCS0101),hdpe,section_300,u3003_wax_recovery_thinfilm_evaporator,PIC,medium,,,,,,
PIC80142,Pressure controller PIC80142 (FCS0101),hdpe,section_500,u5002_hdpe_extruder_feed,PIC,medium,,,,,,
PIC80142B,Pressure controller PIC80142B (FCS0101),hdpe,section_200,u2003_powder_drying_ii_scrubber,PIC,medium,,,,,,
PIC80143,Pressure controller PIC80143 (FCS0101),hdpe,section_100,u1001_polymerization_reactor_1,PIC,medium,,,,,,
PIC80150,Pressure controller PIC80150 (FCS0101),hdpe,section_300,u3002_hexane_purification_ii_adsorbtion,PIC,medium,,,,,,
TIC10101,Temperature controller TIC10101 (FCS0101),hdpe,section_100,u1004_suspension_receiver_off_gas_system,TIC,medium,,,,,,
TIC10102,Temperature controller TIC10102 (FCS0101),hdpe,section_200,u2005_refrigeration_unit_hexane_supply,TIC,medium,,,,,,
TIC10403,Temperature controller TIC10403 (FCS0101),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,TIC,medium,,,,,,
TIC10503,Temperature controller TIC10503 (FCS0101),hdpe,section_200,u2005_refrigeration_unit_hexane_supply,TIC,medium,,,,,,
TIC10603,Temperature controller TIC10603 (FCS0101),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,TIC,medium,,,,,,
TIC10608,Temperature controller TIC10608 (FCS0101),hdpe,section_300,u3006_waste_water_pretreatment,TIC,medium,,,,,,
TIC10704,Temperature controller TIC10704 (FCS0101),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,TIC,medium,,,,,,
TIC80104,Temperature controller TIC80104 (FCS0101),hdpe,section_100,u1004_suspension_receiver_off_gas_system,TIC,medium,,,,,,
TIC80105,Temperature controller TIC80105 (FCS0101),hdpe,section_800,u8002_utility_supply,TIC,medium,,,,,,
TIC80150,Temperature controller TIC80150 (FCS0101),hdpe,section_100,u1004_suspension_receiver_off_gas_system,TIC,medium,,,,,,
FIC00701,Flow controller FIC00701 (FCS0102),hdpe,section_200,u2002_powder_drying_i,FIC,medium,,,,,,
FIC20209,Flow controller FIC20209 (FCS0102),hdpe,section_100,u1005_catalyst_dosage,FIC,medium,,,,,,
FIC20301,Flow controller FIC20301 (FCS0102),hdpe,section_300,u3001_hexane_purification_i_distillation,FIC,medium,,,,,,
FIC20404,Flow controller FIC20404 (FCS0102),hdpe,section_300,u3006_waste_water_pretreatment,FIC,medium,,,,,,
FIC30102,Flow controller FIC30102 (FCS0102),hdpe,section_400,u4002_catalyst_tankfarm,FIC,medium,,,,,,
FIC30201,Flow controller FIC30201 (FCS0102),hdpe,section_600,u6001_pellet_homogenization_i_silo_1_2_3,FIC,medium,,,,,,
FIC30202,Flow controller FIC30202 (FCS0102),hdpe,section_300,u3001_hexane_purification_i_distillation,FIC,medium,,,,,,
FIC30203,Flow controller FIC30203 (FCS0102),hdpe,section_300,u3004_wax_pretreatment,FIC,medium,,,,,,
FIC30303,Flow controller FIC30303 (FCS0102),hdpe,section_100,u1004_suspension_receiver_off_gas_system,FIC,medium,,,,,,
FIC30501,Flow controller FIC30501 (FCS0102),hdpe,section_800,u8002_utility_supply,FIC,medium,,,,,,
FIC30502,Flow controller FIC30502 (FCS0102),hdpe,section_100,u1001_polymerization_reactor_1,FIC,medium,,,,,,
FIC30603,Flow controller FIC30603 (FCS0102),hdpe,section_300,u3002_hexane_purification_ii_adsorbtion,FIC,medium,,,,,,
LIC20202,Level controller LIC20202 (FCS0102),hdpe,section_300,u3004_wax_pretreatment,LIC,medium,,,,,,
LIC20401,Level controller LIC20401 (FCS0102),hdpe,section_300,u3004_wax_pretreatment,LIC,medium,,,,,,
LIC20402,Level controller LIC20402 (FCS0102),hdpe,section_300,u3001_hexane_purification_i_distillation,LIC,medium,,,,,,
LIC20541,Level controller LIC20541 (FCS0102),hdpe,section_100,u1001_polymerization_reactor_1,LIC,medium,,,,,,
LIC20601,Level controller LIC20601 (FCS0102),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,LIC,medium,,,,,,
LIC20602,Level controller LIC20602 (FCS0102),hdpe,section_600,u6001_pellet_homogenization_i_silo_1_2_3,LIC,medium,,,,,,
LIC30101,Level controller LIC30101 (FCS0102),hdpe,section_500,u5003_pellet_water_transport_system_drying,LIC,medium,,,,,,
LIC30102,Level controller LIC30102 (FCS0102),hdpe,section_300,u3003_wax_recovery_thinfilm_evaporator,LIC,medium,,,,,,
LIC30103,Level controller LIC30103 (FCS0102),hdpe,section_300,u3006_waste_water_pretreatment,LIC,medium,,,,,,
LIC30104,Level controller LIC30104 (FCS0102),hdpe,section_300,u3004_wax_pretreatment,LIC,medium,,,,,,
LIC30206,Level controller LIC30206 (FCS0102),hdpe,section_500,u5002_hdpe_extruder_feed,LIC,medium,,,,,,
LIC30302,Level controller LIC30302 (FCS0102),hdpe,section_200,u2003_powder_drying_ii_scrubber,LIC,medium,,,,,,
LIC30307,Level controller LIC30307 (FCS0102),hdpe,section_100,u1005_catalyst_dosage,LIC,medium,,,,,,
LIC30310,Level controller LIC30310 (FCS0102),hdpe,section_800,u8002_utility_supply,LIC,medium,,,,,,
LIC30501,Level controller LIC30501 (FCS0102),hdpe,section_300,u3002_hexane_purification_ii_adsorbtion,LIC,medium,,,,,,
LIC30601,Level controller LIC30601 (FCS0102),hdpe,section_100,u1007_catalyst_preparation,LIC,medium,,,,,,
LIC30608,Level controller LIC30608 (FCS0102),hdpe,section_300,u3005_butene_recovery,LIC,medium,,,,,,
PIC20120,Pressure controller PIC20120 (FCS0102),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,PIC,medium,,,,,,
PIC20203,Pressure controller PIC20203 (FCS0102),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,PIC,medium,,,,,,
PIC20204,Pressure controller PIC20204 (FCS0102),hdpe,section_200,u2002_powder_drying_i,PIC,medium,,,,,,
PIC20317,Pressure controller PIC20317 (FCS0102),hdpe,section_500,u5003_pellet_water_transport_system_drying,PIC,medium,,,,,,
PIC20406,Pressure controller PIC20406 (FCS0102),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,PIC,medium,,,,,,
PIC20501,Pressure controller PIC20501 (FCS0102),hdpe,section_100,u1006_catalyst_storage,PIC,medium,,,,,,
PIC20603,Pressure controller PIC20603 (FCS0102),hdpe,section_200,u2002_powder_drying_i,PIC,medium,,,,,,
PIC30102,Pressure controller PIC30102 (FCS0102),hdpe,section_100,u1005_catalyst_dosage,PIC,medium,,,,,,
PIC30104,Pressure controller PIC30104 (FCS0102),hdpe,section_100,u1006_catalyst_storage,PIC,medium,,,,,,
PIC30108,Pressure controller PIC30108 (FCS0102),hdpe,section_200,u2003_powder_drying_ii_scrubber,PIC,medium,,,,,,
PIC30204,Pressure controller PIC30204 (FCS0102),hdpe,section_500,u5003_pellet_water_transport_system_drying,PIC,medium,,,,,,
PIC30305,Pressure controller PIC30305 (FCS0102),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,PIC,medium,,,,,,
PIC30306,Pressure controller PIC30306 (FCS0102),hdpe,section_800,u8001_condensate_and_steam_supply_system,PIC,medium,,,,,,
PIC30307,Pressure controller PIC30307 (FCS0102),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,PIC,medium,,,,,,
PIC30325,Pressure controller PIC30325 (FCS0102),hdpe,section_300,u3004_wax_pretreatment,PIC,medium,,,,,,
PIC30601,Pressure controller PIC30601 (FCS0102),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,PIC,medium,,,,,,
PIC30611,Pressure controller PIC30611 (FCS0102),hdpe,section_400,u4001_hexane_tankfarm,PIC,medium,,,,,,
PIC40101,Pressure controller PIC40101 (FCS0102),hdpe,section_400,u4002_catalyst_tankfarm,PIC,medium,,,,,,
PIC40102,Pressure controller PIC40102 (FCS0102),hdpe,section_300,u3003_wax_recovery_thinfilm_evaporator,PIC,medium,,,,,,
PIC40108,Pressure controller PIC40108 (FCS0102),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,PIC,medium,,,,,,
PIC40201,Pressure controller PIC40201 (FCS0102),hdpe,section_300,u3004_wax_pretreatment,PIC,medium,,,,,,
PIC40202,Pressure controller PIC40202 (FCS0102),hdpe,section_800,u8002_utility_supply,PIC,medium,,,,,,
TIC00705,Temperature controller TIC00705 (FCS0102),hdpe,section_500,u5003_pellet_water_transport_system_drying,TIC,medium,,,,,,
TIC20305,Temperature controller TIC20305 (FCS0102),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,TIC,medium,,,,,,
TIC20405,Temperature controller TIC20405 (FCS0102),hdpe,section_100,u1001_polymerization_reactor_1,TIC,medium,,,,,,
TIC20601,Temperature controller TIC20601 (FCS0102),hdpe,section_300,u3005_butene_recovery,TIC,medium,,,,,,
TIC20607,Temperature controller TIC20607 (FCS0102),hdpe,section_400,u4001_hexane_tankfarm,TIC,medium,,,,,,
TIC30104,Temperature controller TIC30104 (FCS0102),hdpe,section_200,u2005_refrigeration_unit_hexane_supply,TIC,medium,,,,,,
TIC30107,Temperature controller TIC30107 (FCS0102),hdpe,section_100,u1002_polymerization_ii_reactor_2,TIC,medium,,,,,,
TIC30109,Temperature controller TIC30109 (FCS0102),hdpe,section_500,u5003_pellet_water_transport_system_drying,TIC,medium,,,,,,
TIC30110,Temperature controller TIC30110 (FCS0102),hdpe,section_100,u1004_suspension_receiver_off_gas_system,TIC,medium,,,,,,
TIC30206,Temperature controller TIC30206 (FCS0102),hdpe,section_100,u1001_polymerization_reactor_1,TIC,medium,,,,,,
TIC30304,Temperature controller TIC30304 (FCS0102),hdpe,section_100,u1001_polymerization_reactor_1,TIC,medium,,,,,,
TIC30306,Temperature controller TIC30306 (FCS0102),hdpe,section_800,u8001_condensate_and_steam_supply_system,TIC,medium,,,,,,
TIC30309,Temperature controller TIC30309 (FCS0102),hdpe,section_100,u1001_polymerization_reactor_1,TIC,medium,,,,,,
TIC30501,Temperature controller TIC30501 (FCS0102),hdpe,section_600,u6001_pellet_homogenization_i_silo_1_2_3,TIC,medium,,,,,,
TIC30502,Temperature controller TIC30502 (FCS0102),hdpe,section_500,u5003_pellet_water_transport_system_drying,TIC,medium,,,,,,
TIC30603,Temperature controller TIC30603 (FCS0102),hdpe,section_300,u3001_hexane_purification_i_distillation,TIC,medium,,,,,,
TIC30604,Temperature controller TIC30604 (FCS0102),hdpe,section_300,u3002_hexane_purification_ii_adsorbtion,TIC,medium,,,,,,
FIC50201,Flow controller FIC50201 (FCS0103),hdpe,section_100,u1003_polymerization_ii_post_reactor,FIC,medium,,,,,,
FIC60210,Flow controller FIC60210 (FCS0103),hdpe,section_500,u5003_pellet_water_transport_system_drying,FIC,medium,,,,,,
LIC50303,Level controller LIC50303 (FCS0103),hdpe,section_500,u5002_hdpe_extruder_feed,LIC,medium,,,,,,
PIC50206,Pressure controller PIC50206 (FCS0103),hdpe,section_300,u3005_butene_recovery,PIC,medium,,,,,,
PIC50216,Pressure controller PIC50216 (FCS0103),hdpe,section_400,u4001_hexane_tankfarm,PIC,medium,,,,,,
PIC51208,Pressure controller PIC51208 (FCS0103),hdpe,section_300,u3005_butene_recovery,PIC,medium,,,,,,
PIC51309,Pressure controller PIC51309 (FCS0103),hdpe,section_100,u1004_suspension_receiver_off_gas_system,PIC,medium,,,,,,
TIC30401,Temperature controller TIC30401 (FCS0103),hdpe,section_300,u3005_butene_recovery,TIC,medium,,,,,,
TIC50302,Temperature controller TIC50302 (FCS0103),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,TIC,medium,,,,,,
TIC51402,Temperature controller TIC51402 (FCS0103),hdpe,section_100,u1003_polymerization_ii_post_reactor,TIC,medium,,,,,,
TIC51406,Temperature controller TIC51406 (FCS0103),hdpe,section_300,u3006_waste_water_pretreatment,TIC,medium,,,,,,
FIC30303_WR,Flow controller FIC30303_WR (FCS0104),hdpe,section_100,u1006_catalyst_storage,FIC,medium,,,,,,
LIC30320,Level controller LIC30320 (FCS0104),hdpe,section_100,u1007_catalyst_preparation,LIC,medium,,,,,,
PIC30322,Pressure controller PIC30322 (FCS0104),hdpe,section_800,u8002_utility_supply,PIC,medium,,,,,,
PIC30323,Pressure controller PIC30323 (FCS0104),hdpe,section_100,u1003_polymerization_ii_post_reactor,PIC,medium,,,,,,
TIC30320,Temperature controller TIC30320 (FCS0104),hdpe,section_600,u6001_pellet_homogenization_i_silo_1_2_3,TIC,medium,,,,,,
TIC30325,Temperature controller TIC30325 (FCS0104),hdpe,section_500,u5002_hdpe_extruder_feed,TIC,medium,,,,,,
TIC31001,Temperature controller TIC31001 (FCS0104),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,TIC,medium,,,,,,
TIC31002,Temperature controller TIC31002 (FCS0104),hdpe,section_100,u1007_catalyst_preparation,TIC,medium,,,,,,
TIC31003,Temperature controller TIC31003 (FCS0104),hdpe,section_200,u2002_powder_drying_i,TIC,medium,,,,,,
