loop_id,display_name,site,area,unit,loop_type,criticality,pv_ot_tag,sp_ot_tag,op_ot_tag,mode_ot_tag,vp_ot_tag,op_min,op_max,enable_monitoring,profile
FIC10301,Flow controller FIC10301 (FCS0101),hdpe,section_400,u4002_catalyst_tankfarm,FIC,medium,FCS0101.FIC10301.PV,FCS0101.FIC10301.SV,FCS0101.FIC10301.MV,FCS0101.FIC10301.MODE,,0,100,true,
FIC10302,Flow controller FIC10302 (FCS0101),hdpe,section_300,u3001_hexane_purification_i_distillation,FIC,medium,FCS0101.FIC10302.PV,FCS0101.FIC10302.SV,FCS0101.FIC10302.MV,FCS0101.FIC10302.MODE,,0,100,true,
FIC10303A,Flow controller FIC10303A (FCS0101),hdpe,section_100,u1005_catalyst_dosage,FIC,medium,FCS0101.FIC10303A.PV,FCS0101.FIC10303A.SV,FCS0101.FIC10303A.MV,FCS0101.FIC10303A.MODE,,0,100,true,
FIC10303B,Flow controller FIC10303B (FCS0101),hdpe,section_400,u4002_catalyst_tankfarm,FIC,medium,FCS0101.FIC10303B.PV,FCS0101.FIC10303B.SV,FCS0101.FIC10303B.MV,FCS0101.FIC10303B.MODE,,0,100,true,
FIC10401,Flow controller FIC10401 (FCS0101),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,FIC,medium,FCS0101.FIC10401.PV,FCS0101.FIC10401.SV,FCS0101.FIC10401.MV,FCS0101.FIC10401.MODE,,0,100,true,
FIC10402,Flow controller FIC10402 (FCS0101),hdpe,section_400,u4002_catalyst_tankfarm,FIC,medium,FCS0101.FIC10402.PV,FCS0101.FIC10402.SV,FCS0101.FIC10402.MV,FCS0101.FIC10402.MODE,,0,100,true,
FIC10403,Flow controller FIC10403 (FCS0101),hdpe,section_200,u2005_refrigeration_unit_hexane_supply,FIC,medium,FCS0101.FIC10403.PV,FCS0101.FIC10403.SV,FCS0101.FIC10403.MV,FCS0101.FIC10403.MODE,,0,100,true,
FIC10404,Flow controller FIC10404 (FCS0101),hdpe,section_400,u4001_hexane_tankfarm,FIC,medium,FCS0101.FIC10404.PV,FCS0101.FIC10404.SV,FCS0101.FIC10404.MV,FCS0101.FIC10404.MODE,,0,100,true,
FIC10405,Flow controller FIC10405 (FCS0101),hdpe,section_100,u1007_catalyst_preparation,FIC,medium,FCS0101.FIC10405.PV,FCS0101.FIC10405.SV,FCS0101.FIC10405.MV,FCS0101.FIC10405.MODE,,0,100,true,
FIC10406,Flow controller FIC10406 (FCS0101),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,FIC,medium,FCS0101.FIC10406.PV,FCS0101.FIC10406.SV,FCS0101.FIC10406.MV,FCS0101.FIC10406.MODE,,0,100,true,
FIC10409,Flow controller FIC10409 (FCS0101),hdpe,section_800,u8002_utility_supply,FIC,medium,FCS0101.FIC10409.PV,FCS0101.FIC10409.SV,FCS0101.FIC10409.MV,FCS0101.FIC10409.MODE,,0,100,true,
FIC10501,Flow controller FIC10501 (FCS0101),hdpe,section_300,u3004_wax_pretreatment,FIC,medium,FCS0101.FIC10501.PV,FCS0101.FIC10501.SV,FCS0101.FIC10501.MV,FCS0101.FIC10501.MODE,,0,100,true,
FIC10502,Flow controller FIC10502 (FCS0101),hdpe,section_100,u1006_catalyst_storage,FIC,medium,FCS0101.FIC10502.PV,FCS0101.FIC10502.SV,FCS0101.FIC10502.MV,FCS0101.FIC10502.MODE,,0,100,true,
FIC10503,Flow controller FIC10503 (FCS0101),hdpe,section_100,u1005_catalyst_dosage,FIC,medium,FCS0101.FIC10503.PV,FCS0101.FIC10503.SV,FCS0101.FIC10503.MV,FCS0101.FIC10503.MODE,,0,100,true,
FIC10504,Flow controller FIC10504 (FCS0101),hdpe,section_600,u6001_pellet_homogenization_i_silo_1_2_3,FIC,medium,FCS0101.FIC10504.PV,FCS0101.FIC10504.SV,FCS0101.FIC10504.MV,FCS0101.FIC10504.MODE,,0,100,true,
FIC10505,Flow controller FIC10505 (FCS0101),hdpe,section_100,u1004_suspension_receiver_off_gas_system,FIC,medium,FCS0101.FIC10505.PV,FCS0101.FIC10505.SV,FCS0101.FIC10505.MV,FCS0101.FIC10505.MODE,,0,100,true,
FIC10506,Flow controller FIC10506 (FCS0101),hdpe,section_300,u3006_waste_water_pretreatment,FIC,medium,FCS0101.FIC10506.PV,FCS0101.FIC10506.SV,FCS0101.FIC10506.MV,FCS0101.FIC10506.MODE,,0,100,true,
FIC10509,Flow controller FIC10509 (FCS0101),hdpe,section_500,u5003_pellet_water_transport_system_drying,FIC,medium,FCS0101.FIC10509.PV,FCS0101.FIC10509.SV,FCS0101.FIC10509.MV,FCS0101.FIC10509.MODE,,0,100,true,
FIC10513,Flow controller FIC10513 (FCS0101),hdpe,section_200,u2002_powder_drying_i,FIC,medium,FCS0101.FIC10513.PV,FCS0101.FIC10513.SV,FCS0101.FIC10513.MV,FCS0101.FIC10513.MODE,,0,100,true,
FIC10710,Flow controller FIC10710 (FCS0101),hdpe,section_100,u1007_catalyst_preparation,FIC,medium,FCS0101.FIC10710.PV,FCS0101.FIC10710.SV,FCS0101.FIC10710.MV,FCS0101.FIC10710.MODE,,0,100,true,
FIC30701,Flow controller FIC30701 (FCS0101),hdpe,section_800,u8002_utility_supply,FIC,medium,FCS0101.FIC30701.PV,FCS0101.FIC30701.SV,FCS0101.FIC30701.MV,FCS0101.FIC30701.MODE,,0,100,true,
FIC80103,Flow controller FIC80103 (FCS0101),hdpe,section_400,u4001_hexane_tankfarm,FIC,medium,FCS0101.FIC80103.PV,FCS0101.FIC80103.SV,FCS0101.FIC80103.MV,FCS0101.FIC80103.MODE,,0,100,true,
FIC80104,Flow controller FIC80104 (FCS0101),hdpe,section_400,u4002_catalyst_tankfarm,FIC,medium,FCS0101.FIC80104.PV,FCS0101.FIC80104.SV,FCS0101.FIC80104.MV,FCS0101.FIC80104.MODE,,0,100,true,
LIC10401,Level controller LIC10401 (FCS0101),hdpe,section_400,u4001_hexane_tankfarm,LIC,medium,FCS0101.LIC10401.PV,FCS0101.LIC10401.SV,FCS0101.LIC10401.MV,FCS0101.LIC10401.MODE,,0,100,true,
LIC10404,Level controller LIC10404 (FCS0101),hdpe,section_100,u1005_catalyst_dosage,LIC,medium,FCS0101.LIC10404.PV,FCS0101.LIC10404.SV,FCS0101.LIC10404.MV,FCS0101.LIC10404.MODE,,0,100,true,
LIC10501,Level controller LIC10501 (FCS0101),hdpe,section_300,u3006_waste_water_pretreatment,LIC,medium,FCS0101.LIC10501.PV,FCS0101.LIC10501.SV,FCS0101.LIC10501.MV,FCS0101.LIC10501.MODE,,0,100,true,
LIC10601,Level controller LIC10601 (FCS0101),hdpe,section_100,u1007_catalyst_preparation,LIC,medium,FCS0101.LIC10601.PV,FCS0101.LIC10601.SV,FCS0101.LIC10601.MV,FCS0101.LIC10601.MODE,,0,100,true,
LIC10704,Level controller LIC10704 (FCS0101),hdpe,section_100,u1001_polymerization_reactor_1,LIC,medium,FCS0101.LIC10704.PV,FCS0101.LIC10704.SV,FCS0101.LIC10704.MV,FCS0101.LIC10704.MODE,,0,100,true,
LIC10719,Level controller LIC10719 (FCS0101),hdpe,section_100,u1003_polymerization_ii_post_reactor,LIC,medium,FCS0101.LIC10719.PV,FCS0101.LIC10719.SV,FCS0101.LIC10719.MV,FCS0101.LIC10719.MODE,,0,100,true,
LIC80101,Level controller LIC80101 (FCS0101),hdpe,section_300,u3004_wax_pretreatment,LIC,medium,FCS0101.LIC80101.PV,FCS0101.LIC80101.SV,FCS0101.LIC80101.MV,FCS0101.LIC80101.MODE,,0,100,true,
LIC80102,Level controller LIC80102 (FCS0101),hdpe,section_100,u1003_polymerization_ii_post_reactor,LIC,medium,FCS0101.LIC80102.PV,FCS0101.LIC80102.SV,FCS0101.LIC80102.MV,FCS0101.LIC80102.MODE,,0,100,true,
PIC00521,Pressure controller PIC00521 (FCS0101),hdpe,section_100,u1005_catalyst_dosage,PIC,medium,FCS0101.PIC00521.PV,FCS0101.PIC00521.SV,FCS0101.PIC00521.MV,FCS0101.PIC00521.MODE,,0,100,true,
